INFO:simglucose.patient.t1dpatient:t = 420.0, patient starts eating ...
DEBUG:simglucose.patient.t1dpatient:t = 420.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 421.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 422.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 423.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 423.0, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.0854334916434, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.12815023746515, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.3417339665737, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.37970440730413, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.4271674582171, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.4271674582171, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.0420331788428, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.06304976826425, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.16813271537126, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.1868141281903, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.2101658942141, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.2101658942141, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.0266280801352, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.0399421202028, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.1065123205408, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.1183470228231, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.133140400676, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.133140400676, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.01987829276067, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.029817439141, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.07951317104266, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.0883479678252, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.09939146380333, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.09939146380333, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.01657529302804, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.0248629395421, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.0663011721123, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.0736679690136, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.0828764651403, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.0828764651403, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.01487987524956, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.02231981287434, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.05951950099825, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.0661327788869, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.07439937624775, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.07439937624775, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.08408265460633, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.08892429378557, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.113132489682, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.11743616895245, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.12281576804054, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.12281576804054, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.1392214659334, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.14742431487986, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.18843855961205, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.1957299808978, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.204844257505, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.204844257505, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.22476004738996, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.23471794233245, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.2845074170449, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.293358879216, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.30442320692987, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.30442320692987, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.33077827573015, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.3439558101303, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.409843482131, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.4215568460423, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.4361985509313, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.4361985509313, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.4690768518296, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.4855160022787, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.56771175452445, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.58232433270143, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.60059005542274, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.60059005542274, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.64138875834095, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.66178810980006, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.7637848670955, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.78191762394806, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.8045835700137, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.8045835700137, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.84366685601094, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.8632084990096, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.96091671400274, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 423.97828706333485, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 424.0, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 424.0, injecting insulin: [1.06345]
DEBUG:simglucose.patient.t1dpatient:t = 424.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 425.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 426.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 427.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 428.0, patient eats 5 g
INFO:simglucose.patient.t1dpatient:t = 429.0, Patient finishes eating!
INFO:simglucose.patient.t1dpatient:t = 720.0, patient starts eating ...
DEBUG:simglucose.patient.t1dpatient:t = 720.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 721.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 722.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 723.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 723.0, injecting insulin: [1.17722917]
DEBUG:simglucose.patient.t1dpatient:t = 723.1040087230089, injecting insulin: [1.17722917]
DEBUG:simglucose.patient.t1dpatient:t = 723.1560130845133, injecting insulin: [1.17722917]
DEBUG:simglucose.patient.t1dpatient:t = 723.4160348920354, injecting insulin: [1.17722917]
DEBUG:simglucose.patient.t1dpatient:t = 723.4622609911505, injecting insulin: [1.17722917]
DEBUG:simglucose.patient.t1dpatient:t = 723.5200436150443, injecting insulin: [1.17722917]
DEBUG:simglucose.patient.t1dpatient:t = 723.5200436150443, injecting insulin: [1.17722917]
DEBUG:simglucose.patient.t1dpatient:t = 723.5989206988465, injecting insulin: [1.17722917]
DEBUG:simglucose.patient.t1dpatient:t = 723.6383592407476, injecting insulin: [1.17722917]
DEBUG:simglucose.patient.t1dpatient:t = 723.8355519502531, injecting insulin: [1.17722917]
DEBUG:simglucose.patient.t1dpatient:t = 723.8706084319431, injecting insulin: [1.17722917]
DEBUG:simglucose.patient.t1dpatient:t = 723.9144290340554, injecting insulin: [1.17722917]
DEBUG:simglucose.patient.t1dpatient:t = 723.9144290340554, injecting insulin: [1.17722917]
DEBUG:simglucose.patient.t1dpatient:t = 723.9315432272443, injecting insulin: [1.17722917]
DEBUG:simglucose.patient.t1dpatient:t = 723.9401003238388, injecting insulin: [1.17722917]
DEBUG:simglucose.patient.t1dpatient:t = 723.982885806811, injecting insulin: [1.17722917]
DEBUG:simglucose.patient.t1dpatient:t = 723.990492114895, injecting insulin: [1.17722917]
DEBUG:simglucose.patient.t1dpatient:t = 724.0, injecting insulin: [1.17722917]
DEBUG:simglucose.patient.t1dpatient:t = 724.0, injecting insulin: [1.17722917]
DEBUG:simglucose.patient.t1dpatient:t = 724.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 725.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 726.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 727.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 728.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 729.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 730.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 731.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 732.0, patient eats 5 g
INFO:simglucose.patient.t1dpatient:t = 733.0, Patient finishes eating!
INFO:simglucose.patient.t1dpatient:t = 960.0, patient starts eating ...
DEBUG:simglucose.patient.t1dpatient:t = 960.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 961.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 962.0, patient eats 5 g
INFO:simglucose.patient.t1dpatient:t = 963.0, Patient finishes eating!
DEBUG:simglucose.patient.t1dpatient:t = 963.0, injecting insulin: [0.2605625]
DEBUG:simglucose.patient.t1dpatient:t = 963.151765566538, injecting insulin: [0.2605625]
DEBUG:simglucose.patient.t1dpatient:t = 963.2276483498069, injecting insulin: [0.2605625]
DEBUG:simglucose.patient.t1dpatient:t = 963.6070622661517, injecting insulin: [0.2605625]
DEBUG:simglucose.patient.t1dpatient:t = 963.6745136290575, injecting insulin: [0.2605625]
DEBUG:simglucose.patient.t1dpatient:t = 963.7588278326897, injecting insulin: [0.2605625]
DEBUG:simglucose.patient.t1dpatient:t = 963.7588278326897, injecting insulin: [0.2605625]
DEBUG:simglucose.patient.t1dpatient:t = 963.8070622661518, injecting insulin: [0.2605625]
DEBUG:simglucose.patient.t1dpatient:t = 963.8311794828828, injecting insulin: [0.2605625]
DEBUG:simglucose.patient.t1dpatient:t = 963.9517655665379, injecting insulin: [0.2605625]
DEBUG:simglucose.patient.t1dpatient:t = 963.9732030925211, injecting insulin: [0.2605625]
DEBUG:simglucose.patient.t1dpatient:t = 964.0, injecting insulin: [0.2605625]
DEBUG:simglucose.patient.t1dpatient:t = 964.0, injecting insulin: [0.2605625]
INFO:simglucose.patient.t1dpatient:t = 1080.0, patient starts eating ...
DEBUG:simglucose.patient.t1dpatient:t = 1080.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 1081.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 1082.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 1083.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 1083.0, injecting insulin: [1.34389583]
DEBUG:simglucose.patient.t1dpatient:t = 1083.1263420971054, injecting insulin: [1.34389583]
DEBUG:simglucose.patient.t1dpatient:t = 1083.189513145658, injecting insulin: [1.34389583]
DEBUG:simglucose.patient.t1dpatient:t = 1083.5053683884216, injecting insulin: [1.34389583]
DEBUG:simglucose.patient.t1dpatient:t = 1083.5615204315795, injecting insulin: [1.34389583]
DEBUG:simglucose.patient.t1dpatient:t = 1083.631710485527, injecting insulin: [1.34389583]
DEBUG:simglucose.patient.t1dpatient:t = 1083.631710485527, injecting insulin: [1.34389583]
DEBUG:simglucose.patient.t1dpatient:t = 1083.7053683884217, injecting insulin: [1.34389583]
DEBUG:simglucose.patient.t1dpatient:t = 1083.7421973398689, injecting insulin: [1.34389583]
DEBUG:simglucose.patient.t1dpatient:t = 1083.9263420971054, injecting insulin: [1.34389583]
DEBUG:simglucose.patient.t1dpatient:t = 1083.9590789428364, injecting insulin: [1.34389583]
DEBUG:simglucose.patient.t1dpatient:t = 1084.0, injecting insulin: [1.34389583]
DEBUG:simglucose.patient.t1dpatient:t = 1084.0, injecting insulin: [1.34389583]
DEBUG:simglucose.patient.t1dpatient:t = 1084.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 1085.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 1086.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 1087.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 1088.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 1089.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 1090.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 1091.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 1092.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 1093.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 1094.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 1095.0, patient eats 5 g
INFO:simglucose.patient.t1dpatient:t = 1096.0, Patient finishes eating!
INFO:simglucose.patient.t1dpatient:t = 1380.0, patient starts eating ...
DEBUG:simglucose.patient.t1dpatient:t = 1380.0, patient eats 5 g
DEBUG:simglucose.patient.t1dpatient:t = 1381.0, patient eats 5 g
INFO:simglucose.patient.t1dpatient:t = 1382.0, Patient finishes eating!
DEBUG:simglucose.patient.t1dpatient:t = 1383.0, injecting insulin: [0.17722917]
DEBUG:simglucose.patient.t1dpatient:t = 1383.2, injecting insulin: [0.17722917]
DEBUG:simglucose.patient.t1dpatient:t = 1383.3, injecting insulin: [0.17722917]
DEBUG:simglucose.patient.t1dpatient:t = 1383.8, injecting insulin: [0.17722917]
DEBUG:simglucose.patient.t1dpatient:t = 1383.888888888889, injecting insulin: [0.17722917]
DEBUG:simglucose.patient.t1dpatient:t = 1384.0, injecting insulin: [0.17722917]
DEBUG:simglucose.patient.t1dpatient:t = 1384.0, injecting insulin: [0.17722917]
